t	e	n	u	dpe	dpn	dpu
2015.572900	-0.350109	-0.344632	0.422771	0.000840	0.000736	0.003119
2015.575600	-0.351731	-0.347687	0.429572	0.000820	0.000721	0.003065
2015.578400	-0.352049	-0.347779	0.420046	0.000806	0.000735	0.003057
2015.581100	-0.352496	-0.344448	0.421746	0.000815	0.000725	0.003057
2015.583800	-0.351233	-0.345411	0.429538	0.000817	0.000724	0.003069
2015.586600	-0.350751	-0.345886	0.431755	0.000810	0.000716	0.003016
2015.589300	-0.351225	-0.344910	0.426333	0.000807	0.000724	0.003038
2015.592100	-0.352257	-0.345586	0.423438	0.000822	0.000731	0.003085
2015.594800	-0.349014	-0.344015	0.425270	0.000808	0.000720	0.003024
2015.597500	-0.350850	-0.343618	0.432052	0.000807	0.000723	0.003071
2015.600300	-0.351620	-0.343955	0.428248	0.000825	0.000733	0.003103
2015.603000	-0.350270	-0.346832	0.425541	0.000850	0.000746	0.003150
2015.605700	-0.352802	-0.345244	0.422708	0.000823	0.000751	0.003188
2015.608500	-0.351725	-0.344759	0.431606	0.000811	0.000721	0.003038
2015.611200	-0.350600	-0.345940	0.427173	0.000831	0.000752	0.003226
2015.614000	-0.349724	-0.343847	0.431981	0.000814	0.000722	0.003080
2015.616700	-0.352582	-0.345458	0.430714	0.000813	0.000710	0.003018
2015.619400	-0.352268	-0.345483	0.431386	0.000793	0.000687	0.002933
2015.622200	-0.351137	-0.343182	0.428326	0.000796	0.000705	0.002973
2015.624900	-0.352791	-0.345136	0.446436	0.000813	0.000721	0.003039
2015.627700	-0.350889	-0.346761	0.431100	0.000862	0.000752	0.003231
2015.630400	-0.348428	-0.344620	0.431849	0.000804	0.000720	0.003045
2015.633100	-0.351358	-0.344324	0.436325	0.000833	0.000740	0.003178
2015.635900	-0.350358	-0.346003	0.431573	0.000851	0.000744	0.003186
2015.638600	-0.350828	-0.344191	0.436502	0.000802	0.000707	0.002981
2015.641300	-0.351093	-0.344875	0.451507	0.000800	0.000706	0.002966
2015.644100	-0.349876	-0.341736	0.442523	0.000805	0.000708	0.003004
2015.646800	-0.351379	-0.345665	0.443453	0.000831	0.000753	0.003243
2015.649600	-0.349225	-0.342572	0.433159	0.000831	0.000719	0.003057
2015.652300	-0.351892	-0.343235	0.437000	0.000798	0.000715	0.002997
2015.655000	-0.350380	-0.344385	0.445701	0.000812	0.000717	0.003029
2015.657800	-0.350164	-0.345363	0.451493	0.000861	0.000758	0.003244
2015.660500	-0.349539	-0.342440	0.439212	0.000812	0.000719	0.003066
2015.663200	-0.347791	-0.342079	0.438358	0.000822	0.000720	0.003155
2015.666000	-0.348709	-0.339718	0.438940	0.000846	0.000759	0.003221
2015.668700	-0.351394	-0.341379	0.439176	0.000873	0.000774	0.003344
2015.671500	-0.349357	-0.341630	0.444956	0.000835	0.000737	0.003118
2015.674200	-0.348952	-0.340982	0.446983	0.000832	0.000742	0.003146
2015.676900	-0.351275	-0.340131	0.444227	0.000808	0.000722	0.003075
2015.679700	-0.349361	-0.341472	0.449052	0.000807	0.000725	0.003032
2015.682400	-0.350403	-0.341830	0.451351	0.000805	0.000716	0.003057
2015.685100	-0.350814	-0.341611	0.452453	0.000808	0.000716	0.002999
2015.687900	-0.352484	-0.340496	0.451247	0.000803	0.000706	0.002985
2015.690600	-0.349651	-0.344928	0.456973	0.000818	0.000727	0.003101
2015.693400	-0.350250	-0.340314	0.448674	0.000836	0.000756	0.003133
2015.696100	-0.349833	-0.342450	0.451060	0.000787	0.000698	0.002938
2015.698800	-0.349499	-0.342426	0.449544	0.000813	0.000714	0.003068
2015.701600	-0.349780	-0.341572	0.456660	0.000834	0.000746	0.003255
2015.704300	-0.349365	-0.342746	0.453444	0.000840	0.000745	0.003199
2015.707000	-0.352209	-0.342953	0.453819	0.000800	0.000716	0.003026
2015.709800	-0.350405	-0.342969	0.460141	0.000818	0.000732	0.003088
2015.712500	-0.349648	-0.341249	0.450882	0.000794	0.000720	0.003046
2015.715300	-0.349466	-0.340475	0.455883	0.000793	0.000705	0.002986
2015.718000	-0.348971	-0.341824	0.458410	0.000815	0.000730	0.003076
2015.720700	-0.348445	-0.338987	0.463207	0.000827	0.000757	0.003242
2015.723500	-0.352399	-0.341262	0.462939	0.000822	0.000724	0.003052
2015.726200	-0.349600	-0.341423	0.463418	0.000812	0.000727	0.003033
2015.729000	-0.352893	-0.343748	0.467601	0.000851	0.000744	0.003173
2015.731700	-0.351435	-0.339355	0.475189	0.000814	0.000739	0.003090
2015.734400	-0.349529	-0.337302	0.471937	0.000823	0.000735	0.003084
2015.737200	-0.348463	-0.340103	0.479212	0.000813	0.000722	0.003055
2015.739900	-0.350598	-0.339597	0.484197	0.000846	0.000752	0.003158
2015.742600	-0.348752	-0.339860	0.474448	0.000824	0.000763	0.003142
2015.745400	-0.350144	-0.339274	0.485095	0.000882	0.000812	0.003422
2015.748100	-0.351734	-0.338171	0.482496	0.000883	0.000823	0.003395
2015.750900	-0.349644	-0.339318	0.475258	0.000819	0.000745	0.003238
2015.753600	-0.351621	-0.339690	0.478868	0.000805	0.000735	0.003125
2015.756300	-0.350953	-0.337388	0.473304	0.000810	0.000734	0.003111
2015.759100	-0.350428	-0.338124	0.479817	0.000802	0.000734	0.003084
2015.761800	-0.349098	-0.337222	0.473891	0.000830	0.000759	0.003205
2015.764500	-0.351999	-0.336032	0.480138	0.000814	0.000739	0.003180
